#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
BG|ACR|38.836697|-122.760284|803|Alder Creek|2002-08-14T00:00:00|3000-01-01T00:00:00
BG|AL1|38.838223|-122.883453|704|Aidlin1 (power plant)|2003-01-01T00:00:00|3000-01-01T00:00:00
BG|AL2|38.816006|-122.897995|657|Aidlin2 (power plant)|2004-11-17T00:00:00|3000-01-01T00:00:00
BG|AL3|38.827545|-122.856873|781|Aidlin3 (power plant)|2004-11-20T00:00:00|3000-01-01T00:00:00
BG|AL4|38.838589|-122.835487|661|Aidlin4 (power plant)|2004-11-17T00:00:00|3000-01-01T00:00:00
BG|AL5|38.839996|-122.868622|593|Aidlin5 (power plant)|2005-03-12T00:00:00|3000-01-01T00:00:00
BG|AL6|38.79995|-122.861343|749|Aidlin6 (power plant)|2005-04-01T00:00:00|3000-01-01T00:00:00
BG|BRP|38.854858|-122.797142|905|Bottle Rock Power|2010-01-27T23:15:00|3000-01-01T00:00:00
BG|BUC|38.823116|-122.83503|888|Buckeye Mine|2002-08-15T00:00:00|3000-01-01T00:00:00
BG|CLV|38.838409|-122.790344|989|Clear Lake View|2002-08-13T00:00:00|3000-01-01T00:00:00
BG|DES|38.768177|-122.69928|650|Davies Estate|2002-08-06T00:00:00|3000-01-01T00:00:00
BG|DRH|38.823601|-122.952698|311|Hale Ranch|2011-02-15T22:43:00|3000-01-01T00:00:00
BG|DRK|38.788326|-122.80307|757|Diana Rock|2002-08-14T00:00:00|3000-01-01T00:00:00
BG|DVB|38.764099|-122.681038|682|Dillingham & Voight|2002-10-10T00:00:00|2014-06-02T23:59:00
BG|EPR|38.747108|-122.693359|890|EPR Geysers net|2009-08-14T21:00:00|2015-07-23T19:45:00
BG|FNF|38.770721|-122.765747|870|Frandzen Federal estat|2002-07-30T00:00:00|3000-01-01T00:00:00
BG|FUM|38.793179|-122.787918|673|Fumarole|2002-08-02T00:00:00|3000-01-01T00:00:00
BG|HBW|38.858528|-122.875687|985|Humming Bird west|2010-01-29T20:30:00|3000-01-01T00:00:00
BG|HER|38.844761|-122.913803|668|H E Ranch|2010-07-16T19:43:00|3000-01-01T00:00:00
BG|HVC|38.842602|-122.776398|779|High Valley Creek|2011-03-22T20:32:00|3000-01-01T00:00:00
BG|JKR|38.800625|-122.759712|1067|John Kingcaid Road|2002-08-08T00:00:00|3000-01-01T00:00:00
BG|LCK|38.819542|-122.741737|1166|Lee Creek|2002-08-07T00:00:00|3000-01-01T00:00:00
BG|MCL|38.85466|-122.823349|961|Mendocino County line|2010-01-27T23:15:00|3000-01-01T00:00:00
BG|MNS|38.79221|-122.716461|789|Moonscape|2002-10-16T00:00:00|2020-03-04T19:03:00
BG|NEG|38.830471|-122.769913|922|NEGU pad|2011-03-06T01:30:00|3000-01-01T00:00:00
BG|PFR|38.752724|-122.74453|1020|Pine Flat Road|2002-07-31T00:00:00|3000-01-01T00:00:00
BG|RGP|38.87833|-122.811272|799|Ruby Glebe property|2009-11-19T21:52:00|3000-01-01T00:00:00
BG|SB4|38.808868|-122.829178|327|Sulfur Bank|2002-08-15T00:00:00|3000-01-01T00:00:00
BG|SQK|38.823395|-122.810074|639|Squaw Creek|2002-08-20T00:00:00|3000-01-01T00:00:00
BG|SSR|38.740189|-122.71122|1076|Sheepskin Rock|2002-07-31T00:00:00|2014-07-31T20:34:00
BG|STY|38.813259|-122.780685|1112|Storage Yard|2002-08-08T00:00:00|3000-01-01T00:00:00
BG|TCH|38.783237|-122.736725|951|Tocher estate|2002-08-06T00:00:00|3000-01-01T00:00:00
