<HTML><HEAD><TITLE>NCEDC_Search_Results</TITLE></HEAD><BODY>Your search parameters are:<ul>
<li>start_time=2011/08/01,00:00:00
<li>end_time=2011/08/31,23:59:59
<li>minimum_magnitude=-2.0
<li>maximum_magnitude=10
<li>rflag=A,F,H,I
<li>system=selected
<li>format=egscsv
<li>catalog=BG
</ul>
<PRE>
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2011/08/01 00:00:02.45,38.77075,-122.71262,3.208,1.28,ML,0,0,0,0.06,LBL,3171327
2011/08/01 00:08:42.35,38.82227,-122.78590,2.359,1.29,ML,0,0,0,0.06,LBL,3171328
2011/08/01 00:17:46.95,38.82012,-122.78858,5.095,1.44,ML,0,0,0,0.06,LBL,3171329
2011/08/01 00:30:41.40,38.83512,-122.87881,3.441,1.63,ML,0,0,0,0.03,LBL,3171330
2011/08/01 00:34:44.50,38.81747,-122.81525,2.332,1.10,ML,0,0,0,0.09,LBL,3171331
2011/08/01 01:22:12.88,38.83437,-122.80162,2.223,1.25,ML,0,0,0,0.06,LBL,3171332
2011/08/01 01:22:17.76,38.82157,-122.80965,3.752,1.39,ML,0,0,0,0.03,LBL,3171333
2011/08/01 01:23:14.63,38.82140,-122.81002,3.910,1.29,ML,0,0,0,0.04,LBL,3171334
2011/08/01 01:23:37.77,38.81935,-122.80856,3.501,0.94,ML,0,0,0,0.05,LBL,3263585
2011/08/01 01:38:27.64,38.83113,-122.83200,2.210,0.60,ML,0,0,0,0.03,LBL,3263586
2011/08/01 01:38:40.67,38.83345,-122.87753,2.972,0.84,ML,0,0,0,0.02,LBL,3171335
2011/08/01 01:38:45.60,38.83292,-122.87804,2.895,0.74,ML,0,0,0,0.02,LBL,3263587
2011/08/01 01:41:20.50,38.81775,-122.80009,3.666,0.56,ML,0,0,0,0.05,LBL,3263588
2011/08/01 01:59:18.60,38.81752,-122.79820,3.568,0.67,ML,0,0,0,0.05,LBL,3263589
2011/08/01 02:10:54.78,38.78335,-122.72736,2.142,1.28,ML,0,0,0,0.15,LBL,3171336
2011/08/01 02:11:58.04,38.82345,-122.85600,2.942,0.33,ML,0,0,0,0.02,LBL,3171337
2011/08/01 02:18:07.62,38.84025,-122.79287,3.011,1.07,ML,0,0,0,0.07,LBL,3171338
2011/08/01 02:28:05.98,38.78003,-122.81004,5.000,0.85,ML,0,0,0,0.22,LBL,3263590
2011/08/01 02:36:01.85,38.80978,-122.73555,2.385,1.16,ML,0,0,0,0.05,LBL,3171339
2011/08/01 02:59:04.73,38.81282,-122.78425,3.869,1.04,ML,0,0,0,0.08,LBL,3171340
2011/08/01 03:28:39.02,38.82692,-122.82510,2.732,0.90,ML,0,0,0,0.06,LBL,3171341
2011/08/01 03:54:35.07,38.83613,-122.78682,2.816,0.67,ML,0,0,0,0.05,LBL,3263591
2011/08/01 04:04:07.76,38.81083,-122.78645,0.422,1.16,ML,0,0,0,0.05,LBL,3171342
2011/08/01 04:07:30.20,38.82662,-122.80555,3.618,1.89,ML,0,0,0,0.05,LBL,3171343
2011/08/01 04:13:42.46,38.75857,-122.70595,1.499,1.04,ML,0,0,0,0.00,LBL,3171344
2011/08/01 04:19:24.41,38.84032,-122.80685,3.257,1.20,ML,0,0,0,0.07,LBL,3171345
2011/08/01 04:34:44.75,38.78170,-122.73859,0.891,1.26,ML,0,0,0,0.09,LBL,3171346
2011/08/01 04:41:22.85,38.85126,-122.83735,2.110,0.52,ML,0,0,0,0.11,LBL,3263593
2011/08/01 04:53:01.72,38.82812,-122.85648,2.686,1.09,ML,0,0,0,0.05,LBL,3171347
2011/08/01 04:55:01.57,38.75298,-122.71500,2.016,1.11,ML,0,0,0,0.01,LBL,3171348
2011/08/01 05:04:44.73,38.80907,-122.79485,3.168,1.16,ML,0,0,0,0.04,LBL,3171349
2011/08/01 05:40:31.68,38.83673,-122.80323,2.823,1.17,ML,0,0,0,0.06,LBL,3171350
2011/08/01 05:41:14.35,38.82833,-122.86982,3.456,0.80,ML,0,0,0,0.02,LBL,3171351
2011/08/01 05:44:57.13,38.83202,-122.85947,2.510,0.68,ML,0,0,0,0.06,LBL,3171352
2011/08/01 06:11:58.20,38.82523,-122.85686,1.911,1.09,ML,0,0,0,0.06,LBL,3171353
2011/08/01 06:22:42.46,38.82533,-122.85805,2.440,0.69,ML,0,0,0,0.12,LBL,3171354
2011/08/01 06:29:58.92,38.82442,-122.85377,3.065,0.64,ML,0,0,0,0.04,LBL,3171355
2011/08/01 06:33:39.19,38.82427,-122.85452,2.620,0.57,ML,0,0,0,0.03,LBL,3171356
2011/08/01 06:41:36.73,38.83570,-122.78519,3.720,0.96,ML,0,0,0,0.13,LBL,3171357
2011/08/01 06:54:57.08,38.81995,-122.78168,2.000,0.76,ML,0,0,0,0.21,LBL,3171358
2011/08/01 07:03:53.81,38.82845,-122.86517,3.274,1.57,ML,0,0,0,0.03,LBL,3171359
2011/08/01 07:05:04.09,38.83588,-122.82663,3.400,0.60,ML,0,0,0,0.04,LBL,3171360
2011/08/01 07:27:58.42,38.83915,-122.82613,3.078,0.64,ML,0,0,0,0.01,LBL,3171361
2011/08/01 07:42:12.09,38.82730,-122.85322,2.013,1.16,ML,0,0,0,0.04,LBL,3171362
2011/08/01 07:48:50.30,38.82295,-122.79710,2.213,0.53,ML,0,0,0,0.08,LBL,3312992
2011/08/01 08:13:00.17,38.78635,-122.77447,4.540,1.52,ML,0,0,0,0.03,LBL,3171363
2011/08/01 08:45:23.07,38.86547,-122.80244,1.446,0.70,ML,0,0,0,0.03,LBL,3171364
2011/08/01 08:47:12.26,38.81816,-122.80949,3.791,1.39,ML,0,0,0,0.12,LBL,3171365
2011/08/01 09:04:42.64,38.82215,-122.79424,3.614,0.38,ML,0,0,0,0.10,LBL,3263594
2011/08/01 09:11:54.57,38.84412,-122.78933,5.289,0.94,ML,0,0,0,0.13,LBL,3171366
2011/08/01 09:13:00.88,38.83020,-122.80270,4.016,1.40,ML,0,0,0,0.07,LBL,3171367
2011/08/01 09:15:09.06,38.79608,-122.78418,1.463,0.91,ML,0,0,0,0.07,LBL,3171368
2011/08/01 09:32:46.39,38.80142,-122.76398,0.105,0.99,ML,0,0,0,0.07,LBL,3171369
2011/08/01 09:45:26.01,38.80462,-122.77229,0.000,0.50,ML,0,0,0,0.14,LBL,3263595
2011/08/01 09:45:33.90,38.81780,-122.75359,0.000,0.36,ML,0,0,0,0.12,LBL,3312993
2011/08/01 09:50:07.90,38.80848,-122.78445,5.588,0.60,ML,0,0,0,0.05,LBL,3312994
2011/08/01 10:08:51.00,38.81878,-122.78443,4.305,1.17,ML,0,0,0,0.04,LBL,3171370
2011/08/01 10:27:53.13,38.84132,-122.80642,2.676,0.17,ML,0,0,0,0.02,LBL,3263597
2011/08/01 10:39:00.77,38.84338,-122.79887,4.035,0.83,ML,0,0,0,0.13,LBL,3171371
2011/08/01 10:46:46.75,38.82418,-122.85710,2.317,1.08,ML,0,0,0,0.05,LBL,3171372
2011/08/01 11:03:54.66,38.81298,-122.79404,3.803,1.65,ML,0,0,0,0.04,LBL,3171373
2011/08/01 11:14:31.01,38.79892,-122.78188,0.000,0.52,ML,0,0,0,0.12,LBL,3312995
2011/08/01 11:26:45.79,38.77638,-122.71864,1.623,1.34,ML,0,0,0,0.05,LBL,3171374
2011/08/01 11:43:39.74,38.79007,-122.73463,2.146,2.14,ML,0,0,0,0.16,LBL,3171375
2011/08/01 12:34:54.03,38.82555,-122.85520,2.768,0.85,ML,0,0,0,0.03,LBL,3171376
2011/08/01 12:48:56.41,38.83420,-122.81139,1.837,0.45,ML,0,0,0,0.10,LBL,3171377
2011/08/01 13:16:29.12,38.81220,-122.80550,3.547,1.19,ML,0,0,0,0.15,LBL,3171378
2011/08/01 13:23:12.36,38.82370,-122.77982,0.489,0.66,ML,0,0,0,0.06,LBL,3263599
2011/08/01 13:49:36.34,38.79948,-122.81268,3.688,1.03,ML,0,0,0,0.22,LBL,3171379
2011/08/01 14:12:44.66,38.85013,-122.79848,5.856,1.01,ML,0,0,0,0.22,LBL,3171380
2011/08/01 14:46:18.07,38.84380,-122.82563,2.744,1.05,ML,0,0,0,0.08,LBL,3171381
2011/08/01 14:48:36.77,38.76582,-122.70998,1.630,1.55,ML,0,0,0,0.06,LBL,3171382
2011/08/01 15:25:35.55,38.80152,-122.81413,3.000,1.12,ML,0,0,0,0.08,LBL,3263600
2011/08/01 15:32:52.37,38.82487,-122.78653,1.395,0.55,ML,0,0,0,0.06,LBL,3263601
2011/08/01 16:21:41.42,38.82235,-122.78532,6.000,1.33,ML,0,0,0,0.07,LBL,3263602
2011/08/01 16:23:51.19,38.84677,-122.82249,2.071,1.50,ML,0,0,0,0.04,LBL,3171383
2011/08/01 16:30:51.95,38.83205,-122.82260,3.189,1.45,ML,0,0,0,0.20,LBL,3171384
2011/08/01 16:41:25.54,38.84167,-122.82778,2.719,1.12,ML,0,0,0,0.08,LBL,3171385
2011/08/01 16:43:06.74,38.91766,-122.92355,1.500,1.70,ML,0,0,0,0.31,LBL,3171386
2011/08/01 16:47:05.47,38.79448,-122.72587,5.342,1.36,ML,0,0,0,0.90,LBL,3171387
2011/08/01 17:01:25.76,38.79727,-122.81225,3.873,1.68,ML,0,0,0,0.03,LBL,3171388
2011/08/01 17:11:55.39,38.83017,-122.80055,1.938,1.16,ML,0,0,0,0.06,LBL,3171389
2011/08/01 18:07:23.88,38.82682,-122.80100,3.052,1.66,ML,0,0,0,0.05,LBL,3171390
2011/08/01 18:09:47.26,38.79590,-122.80434,3.672,1.22,ML,0,0,0,0.04,LBL,3171391
2011/08/01 18:11:03.49,38.82667,-122.80137,3.332,1.36,ML,0,0,0,0.05,LBL,3171392
2011/08/01 18:24:38.13,38.82768,-122.80222,3.174,1.43,ML,0,0,0,0.07,LBL,3171393
2011/08/01 18:37:09.38,38.81287,-122.79160,3.810,1.43,ML,0,0,0,0.06,LBL,3171394
2011/08/01 19:22:31.26,38.80442,-122.81865,3.539,2.09,ML,0,0,0,0.06,LBL,3171395
2011/08/01 19:24:35.70,38.79838,-122.81620,4.253,1.08,ML,0,0,0,0.09,LBL,3171396
2011/08/01 19:25:51.90,38.80295,-122.81823,3.583,1.77,ML,0,0,0,0.04,LBL,3171397
2011/08/01 19:30:39.65,38.81578,-122.81918,3.298,1.30,ML,0,0,0,0.04,LBL,3171398
2011/08/01 19:37:23.02,38.81438,-122.81615,3.093,2.02,ML,0,0,0,0.10,LBL,3171399
2011/08/01 19:50:15.78,38.83618,-122.84235,2.119,0.48,ML,0,0,0,0.03,LBL,3263603
2011/08/01 19:51:44.97,38.80205,-122.81637,3.748,0.85,ML,0,0,0,0.07,LBL,3171400
2011/08/01 19:56:54.29,38.80947,-122.81990,4.362,1.23,ML,0,0,0,0.22,LBL,3171401
2011/08/01 20:04:50.63,38.81060,-122.80078,2.530,0.98,ML,0,0,0,0.05,LBL,3263604
2011/08/01 20:05:12.47,38.81688,-122.81113,3.534,1.10,ML,0,0,0,0.04,LBL,3171402
2011/08/01 20:06:30.23,38.79659,-122.78033,4.190,0.69,ML,0,0,0,0.02,LBL,3312996
2011/08/01 20:09:47.94,38.82687,-122.82735,1.514,0.54,ML,0,0,0,0.08,LBL,3263605
2011/08/01 20:10:04.13,38.82283,-122.78637,1.845,1.05,ML,0,0,0,0.05,LBL,3171403
2011/08/01 20:10:37.17,38.81723,-122.78605,3.177,1.40,ML,0,0,0,0.15,LBL,3171404
2011/08/01 20:21:23.51,38.84168,-122.82857,3.003,1.05,ML,0,0,0,0.01,LBL,3171405
2011/08/01 20:22:15.92,38.82280,-122.80566,3.454,1.75,ML,0,0,0,0.05,LBL,3171406
2011/08/01 20:23:39.87,38.81810,-122.80540,3.295,1.08,ML,0,0,0,0.06,LBL,3171407
2011/08/01 20:26:02.88,38.81482,-122.80515,2.321,0.48,ML,0,0,0,0.12,LBL,3263606
2011/08/01 20:35:08.01,38.81950,-122.80627,3.833,1.32,ML,0,0,0,0.06,LBL,3171408
2011/08/01 20:38:28.43,38.81980,-122.82887,0.000,1.07,ML,0,0,0,0.11,LBL,3171409
2011/08/01 20:39:14.85,38.82087,-122.82883,0.108,1.12,ML,0,0,0,0.11,LBL,3171410
2011/08/01 20:43:27.64,38.82605,-122.83807,0.764,0.87,ML,0,0,0,0.03,LBL,3171411
2011/08/01 20:44:30.44,38.83715,-122.84373,1.499,0.43,ML,0,0,0,0.04,LBL,3263607
2011/08/01 21:13:45.74,38.83138,-122.85657,2.466,1.32,ML,0,0,0,0.07,LBL,3171412
2011/08/01 21:34:56.78,38.83607,-122.84143,2.619,0.74,ML,0,0,0,0.02,LBL,3171413
2011/08/01 21:36:06.97,38.83667,-122.83965,2.110,1.48,ML,0,0,0,0.08,LBL,3171414
2011/08/01 21:39:09.51,38.82133,-122.78895,4.477,0.82,ML,0,0,0,0.05,LBL,3263608
2011/08/01 21:46:19.57,38.83910,-122.84350,1.702,0.66,ML,0,0,0,0.10,LBL,3263610
2011/08/01 21:47:23.73,38.81263,-122.82328,3.851,0.96,ML,0,0,0,0.05,LBL,3263611
2011/08/01 21:48:32.56,38.83758,-122.79763,3.102,1.22,ML,0,0,0,0.10,LBL,3171415
2011/08/01 21:58:45.10,38.83138,-122.84220,2.899,0.65,ML,0,0,0,0.04,LBL,3263612
2011/08/01 22:24:42.06,38.82140,-122.79058,3.566,1.51,ML,0,0,0,0.08,LBL,3171416
2011/08/01 22:33:45.37,38.83500,-122.84008,3.008,1.28,ML,0,0,0,0.03,LBL,3171417
2011/08/01 22:48:48.14,38.83852,-122.80082,3.075,1.30,ML,0,0,0,0.06,LBL,3171418
2011/08/01 23:17:12.54,38.82313,-122.78899,4.065,1.47,ML,0,0,0,0.20,LBL,3171419
2011/08/01 23:17:26.22,38.81495,-122.79288,3.729,1.52,ML,0,0,0,0.07,LBL,3171420
2011/08/02 00:16:29.33,38.83344,-122.81492,1.434,0.88,ML,0,0,0,0.10,LBL,3171421
2011/08/02 01:02:55.30,38.84032,-122.82660,3.392,0.93,ML,0,0,0,0.03,LBL,3171422
2011/08/02 01:04:49.32,38.83612,-122.83904,1.844,1.35,ML,0,0,0,0.08,LBL,3171423
2011/08/02 01:06:55.06,38.82557,-122.80043,0.000,0.70,ML,0,0,0,0.08,LBL,3171424
2011/08/02 01:13:17.92,38.84357,-122.84605,2.301,0.71,ML,0,0,0,0.05,LBL,3263613
2011/08/02 01:26:27.41,38.83543,-122.83867,2.601,0.90,ML,0,0,0,0.04,LBL,3171425
2011/08/02 01:29:03.47,38.83607,-122.83739,2.664,1.46,ML,0,0,0,0.05,LBL,3171426
2011/08/02 01:35:24.84,38.83353,-122.83780,3.650,1.10,ML,0,0,0,0.21,LBL,3171427
2011/08/02 01:57:27.00,38.80303,-122.78465,1.962,0.78,ML,0,0,0,0.04,LBL,3171428
2011/08/02 02:02:44.19,38.79410,-122.76033,1.322,1.00,ML,0,0,0,0.02,LBL,3171429
2011/08/02 02:04:54.47,38.66541,-122.77903,13.000,1.41,ML,0,0,0,1.05,LBL,3312997
2011/08/02 02:07:42.65,38.83037,-122.80258,2.738,1.04,ML,0,0,0,0.07,LBL,3263615
2011/08/02 02:17:07.49,38.71946,-122.91198,13.000,1.30,ML,0,0,0,0.35,LBL,3312998
2011/08/02 02:20:19.06,38.83875,-122.83546,0.562,0.45,ML,0,0,0,0.09,LBL,3171431
