event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,x_m,y_m,z_m
3146279,2011/01/01 00:21:06.39,38.81163,-122.794,2.511,1.5,ML,7876.394546489152,4234.993229552114,2511.0
3257512,2011/01/01 00:21:44.60,38.8076,-122.77447,4.087,1.01,ML,9389.525703610676,3352.0543317273664,4086.9999999999995
3146280,2011/01/01 00:54:13.15,38.81083,-122.81555,3.552,1.23,ML,6616.996114048413,5619.491862349234,3552.0
3146281,2011/01/01 00:58:13.11,38.82788,-122.79432,2.324,1.21,ML,6586.215774415299,2984.0741818811125,2324.0
3146282,2011/01/01 01:06:59.52,38.81565,-122.78758,3.088,0.72,ML,7955.904403506247,3526.8548657431957,3088.0
3146283,2011/01/01 01:12:20.83,38.8435,-122.792,2.882,0.84,ML,5507.241569392643,1620.4669749399563,2882.0
3146284,2011/01/01 01:12:58.98,38.83253,-122.79546,0.686,0.68,ML,6152.711933036341,2690.433108687207,686.0
3311224,2011/01/01 01:13:13.44,38.83117,-122.79495,0.65,0.38,ML,6290.3321962230375,2765.4831861065845,650.0
3146285,2011/01/01 01:24:41.44,38.81116,-122.81667,3.021,1.19,ML,6522.489680020437,5662.394463730369,3021.0
3257513,2011/01/01 01:57:05.59,38.78192,-122.72228,3.164,1.01,ML,14598.891757728019,2158.404709059457,3164.0
3257514,2011/01/01 02:04:41.38,38.7875,-122.74255,0.302,0.88,ML,12919.175725170744,2965.5468441286316,302.0
3146286,2011/01/01 02:18:42.04,38.84807,-122.82504,1.868,0.86,ML,3123.1408498398505,3289.9327999550783,1868.0
3146287,2011/01/01 02:53:49.35,38.81847,-122.81842,3.345,1.65,ML,5843.587330727708,5198.193732264485,3345.0
3257516,2011/01/01 03:05:52.25,38.82012,-122.81662,2.148,0.8,ML,5824.995723991971,4958.766175763795,2148.0
3146288,2011/01/01 03:11:04.45,38.84502,-122.82605,2.307,1.23,ML,3299.6563541974383,3590.3618094575886,2307.0
3257517,2011/01/01 03:21:09.24,38.84682,-122.8355,1.921,0.29,ML,2579.2242606638174,4029.318452188237,1921.0
3146289,2011/01/01 03:32:55.34,38.83752,-122.804,2.366,0.9,ML,5238.683735677101,2824.1488063217885,2366.0
3257518,2011/01/01 03:34:36.42,38.80919,-122.75515,0.458,0.87,ML,10450.360309909147,2042.583077219974,458.0
3146290,2011/01/01 03:38:09.43,38.83633,-122.78575,1.477,0.98,ML,6451.242588360769,1797.676501668851,1477.0
3146291,2011/01/01 03:41:12.39,38.82658,-122.78123,3.798,0.96,ML,7490.843737877295,2282.734043998793,3798.0
3146292,2011/01/01 04:07:14.96,38.85788,-122.82764,0.988,1.21,ML,2196.627616017256,2682.4048269036984,988.0
3146293,2011/01/01 04:07:26.38,38.84595,-122.8239,2.776,1.27,ML,3358.829999404806,3385.759181334982,2776.0
3257519,2011/01/01 04:42:25.58,38.84825,-122.82882,1.355,0.59,ML,2877.189330047371,3507.7367746672603,1355.0
3146294,2011/01/01 04:43:41.48,38.8392,-122.79452,1.853,0.28,ML,5688.863193015785,2111.258928234036,1853.0
3146295,2011/01/01 04:47:13.89,38.81897,-122.80724,4.07,0.94,ML,6490.311828774518,4473.28160899438,4070.0000000000005
3146296,2011/01/01 04:48:09.20,38.81772,-122.81942,3.099,1.03,ML,5840.884730266147,5318.177770559878,3099.0
3146297,2011/01/01 05:24:07.63,38.8414,-122.82947,2.917,1.34,ML,3372.9014052275465,4083.1951650411115,2917.0
3146298,2011/01/01 05:28:12.58,38.81585,-122.81094,3.929,2.42,ML,6507.286937767179,4944.197281393168,3929.0
3146299,2011/01/01 05:54:26.18,38.82098,-122.83005,2.239,1.11,ML,4933.913587039899,5715.365597333089,2239.0
3146300,2011/01/01 05:58:58.36,38.83773,-122.80213,2.829,1.94,ML,5336.976341618707,2693.0173977861327,2829.0
3146301,2011/01/01 06:15:47.55,38.79845,-122.78167,0.613,1.03,ML,9663.270574870356,4509.143002046866,613.0
3146302,2011/01/01 06:46:45.67,38.84042,-122.78567,1.778,0.89,ML,6136.362666748766,1472.981648956571,1778.0
3146303,2011/01/01 07:24:01.59,38.77772,-122.72385,1.722,1.4,ML,14830.970772238905,2583.1017464206925,1722.0
3146304,2011/01/01 07:32:44.23,38.84548,-122.81802,1.766,1.09,ML,3756.2769012078406,3061.808647241489,1766.0
3146305,2011/01/01 08:13:29.15,38.82115,-122.82169,3.32,0.99,ML,5433.451840760335,5189.243551036199,3320.0
3146306,2011/01/01 08:21:35.32,38.84267,-122.82495,3.046,1.12,ML,3550.874924787877,3706.6250774148566,3046.0
3146307,2011/01/01 08:25:39.94,38.83692,-122.78564,1.702,1.08,ML,6411.859654610271,1744.7980376559071,1702.0
3146308,2011/01/01 08:26:53.58,38.82232,-122.82385,2.654,1.11,ML,5209.470749391824,5230.265599383889,2654.0
3257520,2011/01/01 08:31:51.24,38.81853,-122.79462,0.736,0.82,ML,7298.8670744359815,3733.531473528706,736.0
3257521,2011/01/01 08:34:29.25,38.81095,-122.77282,3.939,0.98,ML,9228.813636089397,2988.9093102554602,3939.0
3146309,2011/01/01 08:43:51.85,38.84418,-122.77713,1.783,1.32,ML,6366.249143407512,655.124230621495,1783.0
3257522,2011/01/01 09:02:35.17,38.82442,-122.81377,4.166,0.88,ML,5663.617395763368,4447.730927075176,4166.0
3257523,2011/01/01 09:05:17.34,38.8082,-122.80376,3.832,0.93,ML,7545.867303864322,5101.887581206433,3832.0
3146310,2011/01/01 09:11:44.00,38.8338,-122.7959,1.224,0.82,ML,6026.422588476745,2618.1258851808802,1224.0
