event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,x_m,y_m,z_m
3146603,2011/01/04 05:16:26.30,38.81513,-122.81541,3.023,0.99,ML,6289.3773903029805,5274.697009177445,3023.0
3146804,2011/01/05 23:47:23.05,38.83868,-122.8344,1.888,0.76,ML,3283.1491812953323,4598.288070186581,1888.0
3146927,2011/01/07 04:15:16.10,38.81199,-122.8138,3.421,1.95,ML,6633.649277703346,5421.443408177323,3421.0
3147136,2011/01/08 19:04:33.62,38.79458,-122.76272,1.819,1.13,ML,11128.31258671632,3649.2732094261823,1819.0
3257724,2011/01/09 01:38:20.73,38.80238,-122.81416,3.712,0.76,ML,7362.948761119292,6194.910081546258,3712.0
3147357,2011/01/10 13:42:42.71,38.81507,-122.8139,2.636,1.24,ML,6386.697060078869,5186.759854429063,2636.0
3147358,2011/01/10 14:04:32.26,38.84073,-122.82872,3.072,0.7,ML,3471.29460366094,4089.5733844063543,3072.0
3147404,2011/01/11 01:31:11.95,38.83277,-122.80552,2.488,2.22,ML,5516.833110029964,3288.781871586892,2488.0
3311301,2011/01/11 19:45:42.00,38.76593,-122.73973,0.996,1.07,ML,14778.670961878399,4479.065759538439,996.0
3147546,2011/01/12 16:13:44.13,38.81745,-122.79372,3.545,1.53,ML,7438.518697118111,3762.7651213283593,3545.0
3147614,2011/01/13 08:45:49.96,38.82248,-122.7939,4.213,1.01,ML,7034.193144758736,3380.5231639454796,4213.0
3257835,2011/01/13 14:31:21.85,38.81945,-122.8145,2.851,0.78,ML,6007.429269975192,4881.104047579211,2851.0
3257856,2011/01/14 15:02:14.55,38.84325,-122.79038,5.14,0.45,ML,5626.1646530926955,1540.6377038515498,5140.0
3148077,2011/01/17 16:26:35.03,38.83057,-122.82217,0.908,0.62,ML,4667.4796178588185,4482.1609147380905,908.0
3311338,2011/01/18 05:16:18.65,38.79395,-122.73689,4.497,1.12,ML,12762.068730167774,2114.033473755768,4497.0
3257953,2011/01/19 00:04:39.78,38.82848,-122.76231,1.635,0.8,ML,8502.902852605182,973.5619534239439,1635.0
3148585,2011/01/22 21:44:15.20,38.79115,-122.75353,3.613,1.36,ML,11960.241246324811,3353.7116588471795,3613.0
3148701,2011/01/24 09:02:18.16,38.81157,-122.78782,3.885,1.16,ML,8260.18751776494,3860.58277330272,3885.0
3148808,2011/01/25 12:50:33.99,38.7766,-122.70135,0.112,1.0,ML,16298.765598516944,1290.4472006420308,112.0
3258196,2011/01/29 02:27:53.81,38.83507,-122.82465,2.598,0.56,ML,4163.50387229526,4282.44803329533,2598.0
3258252,2011/01/30 23:15:14.03,38.8268,-122.82848,2.558,0.77,ML,4575.170619667677,5164.004607110517,2558.0
3149512,2011/02/03 02:41:47.40,38.83667,-122.82809,3.07,0.45,ML,3827.3826532750713,4368.368851602753,3070.0
3149677,2011/02/05 03:11:20.79,38.77618,-122.70817,2.098,1.27,ML,15913.242962946426,1741.647441400653,2098.0
3149707,2011/02/05 08:21:22.79,38.81042,-122.79372,1.613,1.39,ML,7988.177702435273,4312.424126645521,1613.0
3149794,2011/02/06 07:27:14.59,38.81256,-122.81123,3.859,0.92,ML,6746.734662131103,5219.224130996035,3859.0
3149994,2011/02/07 16:18:30.24,38.78872,-122.77779,4.358,1.43,ML,10662.048247481058,5031.896516274945,4358.0
3258501,2011/02/10 21:18:52.80,38.82512,-122.7895,0.617,0.35,ML,7097.688419437473,2904.197228089791,617.0
3150301,2011/02/10 22:54:52.88,38.7892,-122.74215,0.738,0.89,ML,12810.794090043375,2808.0905534981325,738.0
3258505,2011/02/11 00:42:40.92,38.81388,-122.74205,2.169,0.9,ML,10887.25783147919,872.2856310594724,2169.0
3150456,2011/02/12 07:37:37.87,38.8336,-122.8094,2.533,0.75,ML,5213.925301904456,3461.898221842264,2533.0
3150469,2011/02/12 09:43:43.40,38.83887,-122.7957,1.151,0.81,ML,5642.279992472482,2209.44596142418,1151.0
3258535,2011/02/12 11:43:49.19,38.84137,-122.82513,2.531,0.78,ML,3641.4770400894677,3819.310787692943,2531.0
3150517,2011/02/12 18:29:48.09,38.83545,-122.7755,1.713,0.89,ML,7148.816722191821,1237.712588229376,1713.0
3150535,2011/02/12 23:37:46.69,38.80953,-122.81564,3.572,1.88,ML,6713.119128094128,5726.656673883196,3572.0
3150657,2011/02/14 04:33:54.60,38.83915,-122.83048,2.98,0.99,ML,3486.8668094069426,4321.07407436543,2980.0
3150881,2011/02/17 11:44:37.28,38.81425,-122.7923,3.779,1.51,ML,7775.826611349444,3925.8580085236686,3779.0
3150984,2011/02/19 07:48:21.38,38.82637,-122.80479,0.0,0.87,ML,6062.014534603582,3744.4020498665573,0.0
3151168,2011/02/20 20:40:44.99,38.8069,-122.81374,3.732,0.6,ML,7035.304889251268,5815.737821399164,3732.0
3151348,2011/02/22 10:25:48.81,38.8126,-122.813,2.326,1.76,ML,6635.029481820356,5324.674301288073,2326.0
3151370,2011/02/22 15:37:58.87,38.82155,-122.79858,3.817,0.78,ML,6819.820901521359,3740.324390096984,3817.0
3151894,2011/02/26 21:55:51.61,38.81042,-122.79563,4.33,1.38,ML,7871.011962420701,4429.589866660092,4330.0
3152035,2011/02/27 16:49:18.44,38.8289,-122.78426,1.598,0.54,ML,7123.578189641192,2287.209011200944,1598.0
3152179,2011/02/28 16:58:20.69,38.8099,-122.79747,3.512,2.29,ML,7798.797819879202,4583.119139433686,3512.0
3152300,2011/03/01 02:49:36.42,38.8039,-122.80878,0.0,0.95,ML,7574.130629039967,5746.03783294801,0.0
3258954,2011/03/01 04:26:28.61,38.84887,-122.82552,2.066,0.21,ML,3031.145956359955,3256.8274930785906,2066.0
3152475,2011/03/01 05:48:21.73,38.80915,-122.83263,3.342,0.69,ML,5700.607429429127,6798.5909677175905,3342.0
3152545,2011/03/01 08:25:54.29,38.83182,-122.79438,2.61,0.77,ML,6274.475931873945,2679.6955376658384,2610.0
3152739,2011/03/02 08:58:11.58,38.84647,-122.82771,2.813,1.27,ML,3084.454387455029,3578.819663053777,2813.0
3153414,2011/03/08 05:33:10.81,38.79163,-122.75232,1.645,1.12,ML,11996.9366026668,3241.9561822918076,1645.0
3311667,2011/03/08 20:31:45.29,38.80968,-122.7914,3.301,1.1,ML,8188.353046059517,4227.966468351264,3301.0
