network,station,latitude,longitude,elevation_m,site_name,start_time,end_time,x_m,y_m,z_m
BG,ACR,38.836697,-122.760284,803.0,Alder Creek,2002-08-14T00:00:00,3000-01-01T00:00:00,7984.716701210297,206.81267190503848,0.0
BG,AL3,38.827545,-122.856873,781.0,Aidlin3 (power plant),2004-11-20T00:00:00,3000-01-01T00:00:00,2775.199971747301,6847.4756934484285,0.0
BG,AL4,38.838589,-122.835487,661.0,Aidlin4 (power plant),2004-11-17T00:00:00,3000-01-01T00:00:00,3223.5840670255056,4672.083332246608,0.0
BG,AL5,38.839996,-122.868622,593.0,Aidlin5 (power plant),2005-03-12T00:00:00,3000-01-01T00:00:00,1080.963190711751,6594.684231183001,0.0
BG,BRP,38.854858,-122.797142,905.0,Bottle Rock Power,2010-01-27T23:15:00,3000-01-01T00:00:00,4303.759173863977,1047.839275904535,0.0
BG,BUC,38.823116,-122.83503,888.0,Buckeye Mine,2002-08-15T00:00:00,3000-01-01T00:00:00,4461.415089055832,5853.846560364815,0.0
BG,CLV,38.838409,-122.790344,989.0,Clear Lake View,2002-08-13T00:00:00,3000-01-01T00:00:00,6006.8793062940795,1916.9356380583317,0.0
BG,DES,38.768177,-122.69928,650.0,Davies Estate,2002-08-06T00:00:00,3000-01-01T00:00:00,17084.3206368845,1822.040896779889,0.0
BG,DRK,38.788326,-122.80307,757.0,Diana Rock,2002-08-14T00:00:00,3000-01-01T00:00:00,9142.095057915813,6613.461554515854,0.0
BG,DVB,38.764099,-122.681038,682.0,Dillingham & Voight,2002-10-10T00:00:00,2014-06-02T23:59:00,18522.194604656324,1021.865200326181,0.0
BG,EPR,38.747108,-122.693359,890.0,EPR Geysers net,2009-08-14T21:00:00,2015-07-23T19:45:00,19094.869506749987,3106.1621785585185,0.0
BG,FNF,38.770721,-122.765747,870.0,Frandzen Federal estat,2002-07-30T00:00:00,3000-01-01T00:00:00,12808.104909149542,5700.437987380573,0.0
BG,FUM,38.793179,-122.787918,673.0,Fumarole,2002-08-02T00:00:00,3000-01-01T00:00:00,9692.124487940115,5304.543034077216,0.0
BG,HVC,38.842602,-122.776398,779.0,High Valley Creek,2011-03-22T20:32:00,3000-01-01T00:00:00,6534.532525794868,733.600993438003,0.0
BG,JKR,38.800625,-122.759712,1067.0,John Kingcaid Road,2002-08-08T00:00:00,3000-01-01T00:00:00,10840.189096937,2992.1083102614466,0.0
BG,LCK,38.819542,-122.741737,1166.0,Lee Creek,2002-08-07T00:00:00,3000-01-01T00:00:00,10463.75995643292,410.3868380812328,0.0
BG,MCL,38.85466,-122.823349,961.0,Mendocino County line,2010-01-27T23:15:00,3000-01-01T00:00:00,2711.6159526910624,2670.944796665332,0.0
BG,MNS,38.79221,-122.716461,789.0,Moonscape,2002-10-16T00:00:00,2020-03-04T19:03:00,14151.297869651213,996.8972700489065,0.0
BG,NEG,38.830471,-122.769913,922.0,NEGU pad,2011-03-06T01:30:00,3000-01-01T00:00:00,7880.838033546897,1284.283648843953,0.0
BG,PFR,38.752724,-122.74453,1020.0,Pine Flat Road,2002-07-31T00:00:00,3000-01-01T00:00:00,15516.768807552391,5806.059471251732,0.0
BG,RGP,38.87833,-122.811272,799.0,Ruby Glebe property,2009-11-19T21:52:00,3000-01-01T00:00:00,1601.7581318051377,79.400439498845,0.0
BG,SB4,38.808868,-122.829178,327.0,Sulfur Bank,2002-08-15T00:00:00,3000-01-01T00:00:00,5934.413478238673,6608.882739534658,0.0
BG,SQK,38.823395,-122.810074,639.0,Squaw Creek,2002-08-20T00:00:00,3000-01-01T00:00:00,5970.484620042595,4301.148334503812,0.0
BG,SSR,38.740189,-122.71122,1076.0,Sheepskin Rock,2002-07-31T00:00:00,2014-07-31T20:34:00,18540.19665823802,4742.795384904701,0.0
BG,STY,38.813259,-122.780685,1112.0,Storage Yard,2002-08-08T00:00:00,3000-01-01T00:00:00,8565.813202532514,3290.8392905322835,0.0
BG,TCH,38.783237,-122.736725,951.0,Tocher estate,2002-08-06T00:00:00,3000-01-01T00:00:00,13609.814406878404,2941.5358550718606,0.0
